hasLoan,hasCreditCard,currentBalance,loanPendingMonths,creditCardLimit,creditCardUsed,creditCardOverduePayment,score,classification
0,0,2099,0,0,0,0,500,A
1,1,862,1,1401,951,1,150,E
0,1,9102,0,2407,2349,1,300,C
0,0,4095,0,0,0,0,500,A
0,1,-980,0,3485,2252,0,350,C
1,1,9498,11,2082,231,1,200,D
0,0,8809,0,0,0,0,500,A
1,1,9998,11,94,60,1,200,D
0,1,4151,0,287,54,1,300,C
0,1,6436,0,3404,2021,1,300,C
0,1,-1921,0,622,296,0,300,C
0,1,8748,0,3080,2378,0,450,B
1,1,8656,22,2269,692,0,300,C
0,0,-1322,0,0,0,0,400,B
1,1,8720,27,3045,2956,0,300,C
0,1,-1987,0,2397,285,0,350,C
1,0,85,8,0,0,0,400,B
1,1,2278,36,489,252,1,150,E
0,0,4342,0,0,0,0,500,A
0,1,9230,0,3239,632,0,450,B
1,1,2,25,1732,1557,0,250,D
0,1,7651,0,2118,1587,1,300,C
1,0,3092,11,0,0,0,400,B
1,1,1918,26,827,377,0,300,C
1,1,-344,23,2067,217,1,50,F
0,1,1844,0,1300,502,0,450,B
0,1,8110,0,2192,1271,0,450,B
0,1,3095,0,530,502,1,300,C
1,1,9719,13,3118,2220,1,150,E
1,1,7795,4,277,196,0,350,C
1,0,701,18,0,0,0,350,C
1,0,9954,22,0,0,0,350,C
0,1,-1771,0,2448,196,1,200,D
1,0,3913,35,0,0,0,350,C
0,0,7094,0,0,0,0,500,A
0,1,1380,0,3467,1668,0,450,B
0,1,971,0,292,45,1,300,C
1,1,5179,33,1594,64,0,300,C
1,1,-1456,24,1267,1060,0,150,E
0,0,6581,0,0,0,0,500,A
1,0,-417,21,0,0,0,250,D
1,0,6461,26,0,0,0,350,C
0,0,8375,0,0,0,0,500,A
1,0,2941,6,0,0,0,400,B
1,0,3483,31,0,0,0,350,C
1,1,6140,17,3373,787,0,300,C
1,0,9476,20,0,0,0,350,C
1,0,2845,9,0,0,0,400,B
0,1,119,0,3248,2387,0,450,B
1,0,6845,11,0,0,0,400,B
1,1,5584,30,2184,633,1,150,E
1,0,3220,22,0,0,0,350,C
0,0,3512,0,0,0,0,500,A
1,0,-927,31,0,0,0,250,D
0,0,6154,0,0,0,0,500,A
0,1,5321,0,157,113,0,450,B
0,0,600,0,0,0,0,500,A
0,0,-934,0,0,0,0,400,B
1,0,3950,16,0,0,0,350,C
1,1,4943,31,3339,743,1,150,E
0,0,9898,0,0,0,0,500,A
0,0,-133,0,0,0,0,400,B
0,1,6237,0,160,119,0,450,B
1,1,1623,6,3246,256,1,200,D
0,1,4788,0,8,7,1,300,C
1,1,8979,19,2529,1780,0,300,C
1,0,4407,13,0,0,0,350,C
0,0,1669,0,0,0,0,500,A
0,1,779,0,2187,2131,0,400,B
0,0,-175,0,0,0,0,400,B
0,0,1556,0,0,0,0,500,A
1,0,6913,10,0,0,0,400,B
0,0,8846,0,0,0,0,500,A
1,0,9304,27,0,0,0,350,C
1,1,2533,7,686,452,1,200,D
1,1,-548,16,292,94,0,150,E
1,0,471,24,0,0,0,350,C
1,1,2769,28,1441,680,1,150,E
1,1,9543,22,1906,226,0,300,C
1,1,9491,36,2678,521,1,150,E
1,0,8479,1,0,0,0,400,B
1,0,7248,34,0,0,0,350,C
0,0,4721,0,0,0,0,500,A
0,1,9180,0,940,612,1,300,C
1,1,6233,36,2522,1191,1,150,E
1,1,2204,16,80,79,1,150,E
1,0,2264,8,0,0,0,400,B
0,0,6026,0,0,0,0,500,A
1,0,-311,31,0,0,0,250,D
0,0,2932,0,0,0,0,500,A
0,1,563,0,238,138,0,450,B
0,0,5328,0,0,0,0,500,A
0,1,6613,0,681,322,0,450,B
1,0,9210,8,0,0,0,400,B
0,1,6422,0,1053,857,1,300,C
1,1,944,7,787,553,1,150,E
1,0,5773,2,0,0,0,400,B
1,0,9622,4,0,0,0,400,B
0,1,6678,0,2153,157,1,300,C
0,0,5242,0,0,0,0,500,A
1,0,8903,13,0,0,0,350,C
0,0,-152,0,0,0,0,400,B
0,0,2043,0,0,0,0,500,A
0,0,1342,0,0,0,0,500,A
1,0,5888,3,0,0,0,400,B
1,1,8666,33,565,359,0,300,C
1,0,3595,32,0,0,0,350,C
0,0,3199,0,0,0,0,500,A
0,0,2434,0,0,0,0,500,A
0,1,-509,0,1432,296,1,200,D
0,0,1173,0,0,0,0,500,A
1,1,6645,11,2795,2755,1,200,D
0,1,-879,0,1161,1122,0,300,C
0,0,5402,0,0,0,0,500,A
0,0,-1870,0,0,0,0,400,B
0,0,8830,0,0,0,0,500,A
1,1,42,8,1519,1298,1,150,E
0,0,2442,0,0,0,0,500,A
0,0,2271,0,0,0,0,500,A
1,0,9861,23,0,0,0,350,C
1,1,9459,35,2183,1760,0,300,C
1,1,6940,15,858,849,1,150,E
1,1,8969,23,553,114,0,300,C
1,1,2824,25,2568,2449,1,100,E
1,1,8933,3,609,584,0,350,C
0,0,1837,0,0,0,0,500,A
0,1,652,0,571,349,1,250,D
1,0,568,20,0,0,0,350,C
1,1,7999,15,1694,1606,1,150,E
1,1,293,25,1626,1034,1,150,E
1,1,9835,6,2150,909,1,200,D
0,0,7471,0,0,0,0,500,A
0,1,503,0,153,109,0,450,B
1,1,5996,28,3497,3077,0,250,D
1,1,3129,10,729,97,1,200,D
1,1,1481,5,1185,965,0,300,C
0,1,6789,0,2159,828,1,300,C
0,1,-338,0,3341,474,1,200,D
0,0,530,0,0,0,0,500,A
1,1,-1820,7,789,722,0,200,D
0,0,9451,0,0,0,0,500,A
0,1,-1281,0,1097,521,1,200,D
1,1,-600,34,261,57,1,0,F
0,0,7258,0,0,0,0,500,A
0,0,9863,0,0,0,0,500,A
1,0,6665,36,0,0,0,350,C
0,0,-455,0,0,0,0,400,B
0,1,9099,0,1501,1193,1,300,C
0,0,7689,0,0,0,0,500,A
0,0,7699,0,0,0,0,500,A
1,1,8784,24,441,377,0,300,C
0,1,-1572,0,553,528,1,150,E
1,0,6263,14,0,0,0,350,C
1,1,-1016,13,309,88,1,0,F
1,0,-1178,3,0,0,0,300,C
0,0,8305,0,0,0,0,500,A
0,1,4147,0,763,644,1,300,C
1,1,-866,35,49,11,0,150,E
0,1,-1849,0,872,18,1,200,D
0,1,8757,0,647,254,1,300,C
0,0,-494,0,0,0,0,400,B
1,0,1454,26,0,0,0,350,C
1,1,6507,35,506,359,0,300,C
0,1,897,0,3059,739,1,300,C
0,0,4602,0,0,0,0,500,A
0,1,8168,0,2342,1730,1,300,C
0,0,2988,0,0,0,0,500,A
1,1,7164,14,1871,762,0,300,C
1,0,2935,9,0,0,0,400,B
0,0,-792,0,0,0,0,400,B
1,1,6122,36,1296,668,0,300,C
0,1,6948,0,2040,509,1,300,C
1,0,2407,22,0,0,0,350,C
1,1,3433,35,1311,984,0,300,C
0,1,7710,0,546,96,0,450,B
0,1,2167,0,2446,738,1,300,C
1,1,8563,23,2451,87,0,300,C
0,0,8306,0,0,0,0,500,A
0,0,5573,0,0,0,0,500,A
0,1,5995,0,1515,290,0,450,B
0,0,9218,0,0,0,0,500,A
1,0,572,7,0,0,0,400,B
1,1,2879,22,1196,102,1,150,E
0,1,6053,0,2314,24,1,300,C
1,0,1911,17,0,0,0,350,C
0,1,2588,0,1334,101,1,300,C
1,0,9712,19,0,0,0,350,C
1,1,176,14,1179,3,1,150,E
0,1,7446,0,242,215,0,450,B
1,1,2177,27,1808,1230,1,150,E
0,0,4041,0,0,0,0,500,A
1,1,628,35,1866,1296,1,150,E
0,1,-1034,0,2245,642,0,350,C
1,1,9781,19,421,22,0,300,C
0,0,8441,0,0,0,0,500,A
1,1,9347,27,1503,28,1,150,E
0,0,8031,0,0,0,0,500,A
0,1,76,0,2560,432,0,450,B
0,1,6775,0,1893,394,1,300,C
0,1,1043,0,1339,1152,1,250,D
0,1,5158,0,352,58,0,450,B
0,1,9498,0,1117,208,0,450,B
0,1,6630,0,428,290,0,450,B
0,1,745,0,1626,834,0,450,B
0,1,8172,0,1727,1225,1,300,C
0,0,5680,0,0,0,0,500,A
0,0,664,0,0,0,0,500,A
